     ITIME      Time(Hours)    Net_Q/INLET_Q    Mass_Error      Cumu_Mass_Error  No_Wet_Cell
       100      2.7778E-02     -1.0000E+00      1.5674E-02      7.8506E-03         311
       200      5.5556E-02     -1.0000E+00      1.5630E-02      7.8706E-03         457
       300      8.3333E-02     -1.0000E+00      1.5863E-02      7.8738E-03         593
       400      1.1111E-01     -1.0000E+00      1.5643E-02      7.8754E-03         717
       500      1.3889E-01     -1.0000E+00      1.5660E-02      7.8763E-03         873
       600      1.6667E-01     -1.0000E+00      1.5378E-02      7.8771E-03         975
       700      1.9444E-01     -1.0000E+00      1.6297E-02      7.8785E-03        1065
       800      2.2222E-01     -1.0000E+00      1.5625E-02      7.8791E-03        1121
       900      2.5000E-01     -1.0000E+00      1.5624E-02      7.8796E-03        1155
      1000      2.7778E-01     -1.0000E+00      1.5003E-02      7.8805E-03        1198
      1100      3.0556E-01     -1.0000E+00      1.5625E-02      7.8803E-03        1231
      1200      3.3333E-01     -1.0000E+00      1.5625E-02      7.8803E-03        1279
      1300      3.6111E-01     -1.0000E+00      1.5625E-02      7.8799E-03        1289
      1400      3.8889E-01     -1.0000E+00      1.5625E-02      7.8795E-03        1303
      1500      4.1667E-01     -1.0000E+00      1.5625E-02      7.8792E-03        1305
      1600      4.4444E-01     -1.0000E+00      1.5625E-02      7.8789E-03        1306
      1700      4.7222E-01     -1.0000E+00      1.5625E-02      7.8786E-03        1306
      1800      5.0000E-01     -1.0000E+00      1.5625E-02      7.8784E-03        1306
      1900      5.2778E-01     -1.0000E+00      1.5625E-02      7.8781E-03        1306
      2000      5.5556E-01     -1.0000E+00      1.5626E-02      7.8779E-03        1306
      2100      5.8333E-01     -4.3180E-01      6.3945E-03      7.8298E-03        1306
      2200      6.1111E-01      8.8892E-03      2.3667E-04      7.6712E-03        1306
      2300      6.3889E-01      1.7576E-01      2.8659E-03      7.4740E-03        1306
      2400      6.6667E-01      3.1340E-01      4.9406E-03      7.2360E-03        1306
      2500      6.9444E-01      3.2695E-01      5.0579E-03      6.9802E-03        1306
      2600      7.2222E-01      1.7886E-01      2.6938E-03      6.7605E-03        1306
      2700      7.5000E-01      6.1977E-02      9.3282E-04      6.5914E-03        1306
      2800      7.7778E-01     -3.7585E-02      6.6806E-04      6.4484E-03        1306
      2900      8.0556E-01     -2.0384E-01      3.2381E-03      6.3410E-03        1306
      3000      8.3333E-01     -2.2740E-01      3.5343E-03      6.2563E-03        1306
      3100      8.6111E-01     -1.3948E-01      2.1312E-03      6.1673E-03        1306
      3200      8.8889E-01     -7.0621E-02      1.0788E-03      6.0662E-03        1306
      3300      9.1667E-01      1.9953E-03      8.3529E-05      5.9579E-03        1306
      3400      9.4444E-01      9.5700E-02      1.5224E-03      5.8356E-03        1306
      3500      9.7222E-01      9.8208E-02      1.5217E-03      5.7081E-03        1306
      3600      1.0000E+00      7.2329E-02      1.1188E-03      5.5890E-03        1306
      3700      1.0278E+00      5.0883E-02      7.7994E-04      5.4785E-03        1306
      3800      1.0556E+00      6.6232E-03      7.5790E-05      5.3779E-03        1306
      3900      1.0833E+00     -4.3287E-02      6.9184E-04      5.2901E-03        1306
      4000      1.1111E+00     -5.0096E-02      7.7886E-04      5.2101E-03        1306
      4100      1.1389E+00     -4.3643E-02      6.8030E-04      5.1321E-03        1306
      4200      1.1667E+00     -3.5313E-02      5.4285E-04      5.0558E-03        1306
      4300      1.1944E+00     -7.2544E-03      9.7837E-05      4.9787E-03        1306
      4400      1.2222E+00      1.6974E-02      2.7214E-04      4.8992E-03        1306
      4500      1.2500E+00      2.2122E-02      3.4603E-04      4.8199E-03        1306
      4600      1.2778E+00      2.3675E-02      3.7076E-04      4.7426E-03        1306
      4700      1.3056E+00      2.0337E-02      3.1282E-04      4.6675E-03        1306
      4800      1.3333E+00      5.8000E-03      8.3008E-05      4.5964E-03        1306
      4900      1.3611E+00     -5.4458E-03      8.8360E-05      4.5295E-03        1306
      5000      1.3889E+00     -9.7110E-03      1.5342E-04      4.4658E-03        1306
      5100      1.4167E+00     -1.3020E-02      2.0450E-04      4.4044E-03        1306
      5200      1.4444E+00     -1.1495E-02      1.7698E-04      4.3449E-03        1306
      5300      1.4722E+00     -4.2093E-03      6.2215E-05      4.2863E-03        1306
      5400      1.5000E+00      9.8247E-04      1.7014E-05      4.2282E-03        1306
      5500      1.5278E+00      4.0458E-03      6.4781E-05      4.1712E-03        1306
      5600      1.5556E+00      6.7530E-03      1.0625E-04      4.1151E-03        1306
      5700      1.5833E+00      6.0296E-03      9.2928E-05      4.0604E-03        1306
      5800      1.6111E+00      2.8041E-03      4.2317E-05      4.0074E-03        1306
      5900      1.6389E+00      4.6300E-04      6.3081E-06      3.9563E-03        1306
      6000      1.6667E+00     -1.6052E-03      2.6183E-05      3.9067E-03        1306
      6100      1.6944E+00     -3.3798E-03      5.3247E-05      3.8586E-03        1306
      6200      1.7222E+00     -3.1015E-03      4.7900E-05      3.8118E-03        1306
      6300      1.7500E+00     -1.7872E-03      2.7338E-05      3.7660E-03        1306
      6400      1.7778E+00     -7.1318E-04      1.0606E-05      3.7212E-03        1306
      6500      1.8056E+00      5.8252E-04      9.7750E-06      3.6772E-03        1306
      6600      1.8333E+00      1.5992E-03      2.5228E-05      3.6341E-03        1306
      6700      1.8611E+00      1.5434E-03      2.3915E-05      3.5919E-03        1306
      6800      1.8889E+00      1.0866E-03      1.6767E-05      3.5507E-03        1306
      6900      1.9167E+00      5.8575E-04      8.8429E-06      3.5105E-03        1306
      7000      1.9444E+00     -1.6907E-04      3.0171E-06      3.4713E-03        1306
      7100      1.9722E+00     -7.1362E-04      1.1282E-05      3.4331E-03        1306
