     ITIME      Time(Hours)    Net_Q/INLET_Q    Mass_Error      Cumu_Mass_Error  No_Wet_Cell
       100      2.7778E-01     -1.0000E+00      1.5701E-02      6.8210E-03        1940
       200      5.5556E-01     -1.0000E+00      1.5635E-02      7.3514E-03        3461
       300      8.3333E-01     -1.0000E+00      1.6331E-02      7.5272E-03        5620
       400      1.1111E+00     -6.4829E-01      1.0198E-02      7.4038E-03        6935
       500      1.3889E+00     -4.9109E-01      7.6465E-03      6.8847E-03        7926
       600      1.6667E+00     -2.0791E-01      3.3608E-03      6.5070E-03        8371
       700      1.9444E+00     -1.3839E-01      2.1948E-03      6.0892E-03        8581
       800      2.2222E+00     -8.6077E-02      1.3309E-03      5.7020E-03        8686
       900      2.5000E+00     -5.3013E-02      7.8337E-04      5.3451E-03        8743
      1000      2.7778E+00     -3.0156E-02      5.2712E-04      5.0184E-03        8766
      1100      3.0556E+00     -1.5942E-02      1.9898E-04      4.7214E-03        8774
      1200      3.3333E+00     -8.1358E-03      1.4936E-04      4.4535E-03        8774
      1300      3.6111E+00     -4.1323E-03      1.2387E-04      4.2122E-03        8780
      1400      3.8889E+00     -2.1639E-03      2.0744E-05      3.9933E-03        8784
      1500      4.1667E+00     -1.1288E-03      4.0903E-05      3.7951E-03        8784
      1600      4.4444E+00     -5.8999E-04      3.5591E-05      3.6153E-03        8784
      1700      4.7222E+00     -3.1111E-04      1.4239E-06      3.4517E-03        8785
      1800      5.0000E+00     -1.7338E-04      7.4842E-05      3.3024E-03        8786
      1900      5.2778E+00     -7.2016E-05      6.0305E-05      3.1653E-03        8786
      2000      5.5556E+00     -5.3954E-05      2.4942E-05      3.0391E-03        8785
      2100      5.8333E+00     -3.9504E-05      6.1726E-06      2.9226E-03        8786
