     ITIME      Time(Hours)    Net_Q/INLET_Q    Mass_Error      Cumu_Mass_Error  No_Wet_Cell
       100      2.7778E-02      1.7264E-01      8.0153E-03      7.4411E-03        1000
       200      5.5556E-02     -7.7266E-02      4.8953E-04      4.7504E-03        1000
       300      8.3333E-02     -1.6284E-02      2.6549E-04      3.4872E-03        1000
       400      1.1111E-01     -1.0194E-03      3.3942E-05      2.7663E-03        1000
       500      1.3889E-01      1.9708E-04      2.8530E-07      2.2937E-03        1000
       600      1.6667E-01      5.6320E-05      8.1775E-07      1.9589E-03        1000
       700      1.9444E-01      5.0159E-06      1.3124E-07      1.7094E-03        1000
       800      2.2222E-01     -4.3213E-07      3.5628E-09      1.5162E-03        1000
       900      2.5000E-01     -1.8647E-07      2.3751E-09      1.3623E-03        1000
      1000      2.7778E-01     -2.1605E-08      4.8072E-10      1.2367E-03        1000
      1100      3.0556E-01      5.8891E-10      2.7066E-11      1.1323E-03        1000
      1200      3.3333E-01      5.9121E-10      6.3214E-12      1.0442E-03        1000
      1300      3.6111E-01      8.4279E-11      2.4467E-11      9.6883E-04        1000
      1400      3.8889E-01     -2.5118E-11      2.5118E-11      9.0359E-04        1000
      1500      4.1667E-01      1.0778E-11      3.1044E-12      8.4658E-04        1000
      1600      4.4444E-01      1.7546E-12      3.6512E-13      7.9633E-04        1000
      1700      4.7222E-01     -9.0415E-13      2.8835E-13      7.5172E-04        1000
      1800      5.0000E-01      1.2835E-13      1.2835E-13      7.1184E-04        1000
      1900      5.2778E-01     -9.9882E-14      5.2512E-14      6.7598E-04        1000
      2000      5.5556E-01      7.6582E-13      7.6582E-13      6.4356E-04        1000
      2100      5.8333E-01     -3.2187E-13      3.5345E-13      6.1410E-04        1000
      2200      6.1111E-01     -1.1138E-13      8.4809E-16      5.8723E-04        1000
      2300      6.3889E-01     -2.6510E-13      1.8615E-13      5.6261E-04        1000
      2400      6.6667E-01     -8.9011E-14      1.5217E-13      5.3997E-04        1000
      2500      6.9444E-01     -1.4143E-13      1.4143E-13      5.1908E-04        1000
      2600      7.2222E-01      3.8565E-14      1.5091E-13      4.9975E-04        1000
      2700      7.5000E-01      2.3700E-13      2.3700E-13      4.8180E-04        1000
      2800      7.7778E-01      8.2079E-14      2.8449E-14      4.6510E-04        1000
      2900      8.0556E-01      6.9657E-13      6.9657E-13      4.4952E-04        1000
      3000      8.3333E-01     -8.2912E-14      2.7617E-14      4.3495E-04        1000
      3100      8.6111E-01      6.9855E-13      6.9855E-13      4.2129E-04        1000
      3200      8.8889E-01     -2.7204E-13      3.0362E-13      4.0847E-04        1000
      3300      9.1667E-01      3.6552E-13      3.6552E-13      3.9640E-04        1000
      3400      9.4444E-01     -3.2963E-13      3.7700E-13      3.8503E-04        1000
      3500      9.7222E-01     -1.0730E-13      7.5719E-14      3.7429E-04        1000
      3600      1.0000E+00     -2.5464E-13      2.5464E-13      3.6413E-04        1000
