     ITIME      Time(Hours)    Net_Q/INLET_Q    Mass_Error      Cumu_Mass_Error  No_Wet_Cell
       100      2.7778E-02     -1.9450E-02      4.1970E-04      4.6860E-03          20
       200      5.5556E-02      7.8437E-05      1.7831E-06      2.7944E-03          20
       300      8.3333E-02     -3.3168E-07      7.4965E-09      1.9875E-03          20
       400      1.1111E-01      1.4023E-09      3.1510E-11      1.5422E-03          20
       500      1.3889E-01      9.6094E-12      9.6094E-12      1.2599E-03          20
       600      1.6667E-01      6.1932E-12      6.1932E-12      1.0650E-03          20
       700      1.9444E-01      6.1932E-12      6.1932E-12      9.2231E-04          20
       800      2.2222E-01      6.1932E-12      6.1932E-12      8.1333E-04          20
       900      2.5000E-01      6.1932E-12      6.1932E-12      7.2738E-04          20
      1000      2.7778E-01      6.1932E-12      6.1932E-12      6.5787E-04          20
      1100      3.0556E-01      6.1932E-12      6.1932E-12      6.0048E-04          20
      1200      3.3333E-01      6.1932E-12      6.1932E-12      5.5230E-04          20
      1300      3.6111E-01      6.1932E-12      6.1932E-12      5.1128E-04          20
      1400      3.8889E-01      6.1932E-12      6.1932E-12      4.7593E-04          20
      1500      4.1667E-01      6.1932E-12      6.1932E-12      4.4515E-04          20
      1600      4.4444E-01      6.1932E-12      6.1932E-12      4.1811E-04          20
      1700      4.7222E-01      6.1932E-12      6.1932E-12      3.9417E-04          20
      1800      5.0000E-01      6.1932E-12      6.1932E-12      3.7282E-04          20
      1900      5.2778E-01      6.1932E-12      6.1932E-12      3.5366E-04          20
      2000      5.5556E-01      6.1932E-12      6.1932E-12      3.3638E-04          20
      2100      5.8333E-01      6.1932E-12      6.1932E-12      3.2071E-04          20
      2200      6.1111E-01      6.1932E-12      6.1932E-12      3.0643E-04          20
      2300      6.3889E-01      6.1932E-12      6.1932E-12      2.9337E-04          20
      2400      6.6667E-01      6.1932E-12      6.1932E-12      2.8138E-04          20
      2500      6.9444E-01      6.1932E-12      6.1932E-12      2.7033E-04          20
      2600      7.2222E-01      6.1932E-12      6.1932E-12      2.6011E-04          20
      2700      7.5000E-01      6.1932E-12      6.1932E-12      2.5064E-04          20
      2800      7.7778E-01      6.1932E-12      6.1932E-12      2.4184E-04          20
      2900      8.0556E-01      6.1932E-12      6.1932E-12      2.3363E-04          20
      3000      8.3333E-01      6.1932E-12      6.1932E-12      2.2596E-04          20
      3100      8.6111E-01      6.1932E-12      6.1932E-12      2.1878E-04          20
      3200      8.8889E-01      6.1932E-12      6.1932E-12      2.1204E-04          20
      3300      9.1667E-01      6.1932E-12      6.1932E-12      2.0570E-04          20
      3400      9.4444E-01      6.1932E-12      6.1932E-12      1.9973E-04          20
      3500      9.7222E-01      6.1932E-12      6.1932E-12      1.9410E-04          20
      3600      1.0000E+00      6.1932E-12      6.1932E-12      1.8878E-04          20
