     ITIME      Time(Hours)    Net_Q/INLET_Q    Mass_Error      Cumu_Mass_Error  No_Wet_Cell
       100      2.7778E-04     -1.0000E+00      4.3194E-02      7.7895E-03          31
       200      5.5556E-04     -1.0000E+00      2.2349E-02      7.6923E-03          47
       300      8.3333E-04     -1.0000E+00      1.9831E-02      7.7423E-03          61
       400      1.1111E-03     -1.0000E+00      5.9500E-02      8.0167E-03          70
       500      1.3889E-03     -1.0000E+00      1.5625E-02      8.0066E-03          79
       600      1.6667E-03     -1.0000E+00      2.3330E-02      8.0227E-03          86
       700      1.9444E-03     -1.0000E+00      5.9632E-02      7.9705E-03          94
       800      2.2222E-03     -1.0000E+00      1.8637E-02      7.9636E-03         102
       900      2.5000E-03     -1.0000E+00      6.0294E-02      7.9486E-03         109
      1000      2.7778E-03     -1.0000E+00      2.0770E-02      7.9579E-03         114
      1100      3.0556E-03     -1.0000E+00      2.1024E-02      7.9534E-03         119
      1200      3.3333E-03     -1.0000E+00      1.8619E-02      7.9374E-03         124
      1300      3.6111E-03     -1.0000E+00      1.6726E-02      7.9266E-03         129
      1400      3.8889E-03     -1.0000E+00      2.1534E-02      7.9392E-03         133
      1500      4.1667E-03     -1.0000E+00      1.8828E-02      7.9254E-03         138
      1600      4.4444E-03     -1.0000E+00      1.7468E-02      7.9183E-03         143
      1700      4.7222E-03     -1.0000E+00      1.6795E-02      7.9143E-03         148
      1800      5.0000E-03     -1.0000E+00      6.3188E-02      7.9114E-03         153
      1900      5.2778E-03     -1.0000E+00      2.4467E-02      7.9299E-03         158
      2000      5.5556E-03     -1.0000E+00      2.4102E-02      7.9258E-03         163
      2100      5.8333E-03     -1.0000E+00      2.4158E-02      7.9234E-03         168
      2200      6.1111E-03     -1.0000E+00      2.4570E-02      7.9221E-03         173
      2300      6.3889E-03     -1.0000E+00      5.9566E-02      7.9031E-03         178
      2400      6.6667E-03     -1.0000E+00      1.6596E-02      7.9021E-03         183
      2500      6.9444E-03     -1.0000E+00      1.6852E-02      7.9014E-03         188
      2600      7.2222E-03     -1.0000E+00      1.7207E-02      7.9008E-03         193
      2700      7.5000E-03     -1.0000E+00      1.7673E-02      7.9004E-03         198
      2800      7.7778E-03     -1.0000E+00      1.5625E-02      7.8977E-03         200
      2900      8.0556E-03     -1.0000E+00      1.5625E-02      7.8969E-03         200
      3000      8.3333E-03     -1.0000E+00      1.5625E-02      7.8961E-03         200
      3100      8.6111E-03     -1.0000E+00      1.5625E-02      7.8954E-03         200
      3200      8.8889E-03     -1.0000E+00      1.5625E-02      7.8947E-03         200
      3300      9.1667E-03     -1.0000E+00      1.5625E-02      7.8941E-03         200
      3400      9.4444E-03     -1.0000E+00      1.5625E-02      7.8935E-03         200
      3500      9.7222E-03     -1.0000E+00      1.5625E-02      7.8929E-03         200
      3600      1.0000E-02     -1.0000E+00      1.5625E-02      7.8924E-03         200
      3700      1.0278E-02     -1.0000E+00      1.5625E-02      7.8919E-03         200
      3800      1.0556E-02     -1.0000E+00      1.5625E-02      7.8915E-03         200
      3900      1.0833E-02     -1.0000E+00      1.5625E-02      7.8910E-03         200
      4000      1.1111E-02     -1.0000E+00      1.5625E-02      7.8906E-03         200
      4100      1.1389E-02     -1.0000E+00      1.5625E-02      7.8902E-03         200
      4200      1.1667E-02     -1.0000E+00      1.5625E-02      7.8898E-03         200
      4300      1.1944E-02     -1.0000E+00      1.5625E-02      7.8894E-03         200
      4400      1.2222E-02     -9.8274E-01      1.5342E-02      7.8885E-03         200
      4500      1.2500E-02     -9.5730E-01      1.4947E-02      7.8854E-03         200
      4600      1.2778E-02     -9.3756E-01      1.4643E-02      7.8804E-03         200
      4700      1.3056E-02     -9.4405E-01      1.4766E-02      7.8750E-03         200
      4800      1.3333E-02     -9.8191E-01      1.5353E-02      7.8722E-03         200
      4900      1.3611E-02     -9.7571E-01      1.5232E-02      7.8708E-03         200
      5000      1.3889E-02     -9.3961E-01      1.4661E-02      7.8674E-03         200
      5100      1.4167E-02     -8.9126E-01      1.3901E-02      7.8607E-03         200
      5200      1.4444E-02     -8.3630E-01      1.3041E-02      7.8503E-03         200
      5300      1.4722E-02     -7.7947E-01      1.2152E-02      7.8360E-03         200
      5400      1.5000E-02     -6.8075E-01      1.0525E-02      7.8170E-03         200
      5500      1.5278E-02     -1.3440E-01      1.8880E-03      7.7733E-03         200
      5600      1.5556E-02      1.1454E-01      1.8677E-03      7.6992E-03         200
      5700      1.5833E-02      2.1071E-01      3.3343E-03      7.6132E-03         200
      5800      1.6111E-02      2.5935E-01      4.0758E-03      7.5207E-03         200
      5900      1.6389E-02      2.8442E-01      4.4565E-03      7.4246E-03         200
      6000      1.6667E-02      2.9663E-01      4.6406E-03      7.3271E-03         200
      6100      1.6944E-02      3.0136E-01      4.7106E-03      7.2295E-03         200
      6200      1.7222E-02      3.0228E-01      4.7230E-03      7.1325E-03         200
      6300      1.7500E-02      3.0105E-01      4.7025E-03      7.0366E-03         200
      6400      1.7778E-02      2.9836E-01      4.6596E-03      6.9419E-03         200
      6500      1.8056E-02      2.9490E-01      4.6051E-03      6.8488E-03         200
      6600      1.8333E-02      2.9055E-01      4.5365E-03      6.7571E-03         200
      6700      1.8611E-02      2.8497E-01      4.4485E-03      6.6673E-03         200
      6800      1.8889E-02      2.7825E-01      4.3426E-03      6.5793E-03         200
      6900      1.9167E-02      2.6988E-01      4.2104E-03      6.4933E-03         200
      7000      1.9444E-02      2.5835E-01      4.0280E-03      6.4098E-03         200
      7100      1.9722E-02      2.4311E-01      3.7878E-03      6.3291E-03         200
      7200      2.0000E-02      2.2503E-01      3.5038E-03      6.2518E-03         200
      7300      2.0278E-02      2.0278E-01      3.1523E-03      6.1779E-03         200
      7400      2.0556E-02      1.6896E-01      2.6155E-03      6.1085E-03         200
      7500      2.0833E-02      1.2003E-01      1.8452E-03      6.0447E-03         200
      7600      2.1111E-02      6.5384E-02      9.9370E-04      5.9874E-03         200
      7700      2.1389E-02      1.7500E-02      2.5208E-04      5.9355E-03         200
      7800      2.1667E-02     -1.9927E-02      3.2747E-04      5.8879E-03         200
      7900      2.1944E-02     -4.9875E-02      7.9282E-04      5.8437E-03         200
      8000      2.2222E-02     -7.5532E-02      1.1917E-03      5.8024E-03         200
      8100      2.2500E-02     -9.6632E-02      1.5189E-03      5.7636E-03         200
      8200      2.2778E-02     -1.1245E-01      1.7635E-03      5.7268E-03         200
      8300      2.3056E-02     -1.2345E-01      1.9334E-03      5.6917E-03         200
      8400      2.3333E-02     -1.3140E-01      2.0566E-03      5.6579E-03         200
      8500      2.3611E-02     -1.3786E-01      2.1569E-03      5.6252E-03         200
      8600      2.3889E-02     -1.4262E-01      2.2301E-03      5.5935E-03         200
      8700      2.4167E-02     -1.4457E-01      2.2592E-03      5.5626E-03         200
      8800      2.4444E-02     -1.4333E-01      2.2383E-03      5.5323E-03         200
      8900      2.4722E-02     -1.3931E-01      2.1742E-03      5.5022E-03         200
      9000      2.5000E-02     -1.3289E-01      2.0728E-03      5.4722E-03         200
      9100      2.5278E-02     -1.2396E-01      1.9318E-03      5.4422E-03         200
      9200      2.5556E-02     -1.1154E-01      1.7358E-03      5.4118E-03         200
      9300      2.5833E-02     -9.3747E-02      1.4547E-03      5.3808E-03         200
      9400      2.6111E-02     -6.9761E-02      1.0773E-03      5.3487E-03         200
      9500      2.6389E-02     -4.2758E-02      6.5506E-04      5.3152E-03         200
      9600      2.6667E-02     -1.7640E-02      2.6432E-04      5.2803E-03         200
