     ITIME      Time(Hours)    Net_Q/INLET_Q    Mass_Error      Cumu_Mass_Error  No_Wet_Cell
       100      2.7778E-03     -1.0000E+00      1.5625E-02      7.9160E-03         200
       200      5.5556E-03     -1.0000E+00      1.5625E-02      7.8950E-03         200
       300      8.3333E-03     -1.0000E+00      1.5625E-02      7.8880E-03         200
       400      1.1111E-02     -1.0000E+00      1.5625E-02      7.8845E-03         200
       500      1.3889E-02     -1.0000E+00      1.5625E-02      7.8824E-03         200
       600      1.6667E-02     -1.0000E+00      1.5625E-02      7.8810E-03         200
       700      1.9444E-02     -1.0000E+00      1.5625E-02      7.8800E-03         200
       800      2.2222E-02     -1.0000E+00      1.5625E-02      7.8793E-03         200
       900      2.5000E-02     -1.0000E+00      1.5625E-02      7.8787E-03         200
      1000      2.7778E-02     -7.8200E-01      1.1674E-02      7.8578E-03         200
      1100      3.0556E-02      3.7204E-01      5.2644E-03      7.3058E-03         200
      1200      3.3333E-02     -4.9633E-01      6.8001E-03      7.1297E-03         200
      1300      3.6111E-02      2.6601E-01      3.4114E-03      6.6676E-03         200
      1400      3.8889E-02     -2.6954E-01      3.2119E-03      6.5178E-03         200
      1500      4.1667E-02      1.5946E-01      1.7204E-03      6.1364E-03         200
      1600      4.4444E-02     -1.1778E-01      9.8201E-04      5.9991E-03         200
      1700      4.7222E-02      6.8032E-02      3.6837E-04      5.6859E-03         200
      1800      5.0000E-02     -2.4180E-02      2.9547E-04      5.5553E-03         200
      1900      5.2778E-02      1.5589E-04      5.6799E-04      5.2979E-03         200
      2000      5.5556E-02      2.8492E-02      9.3139E-04      5.1722E-03         200
      2100      5.8333E-02     -4.1012E-02      1.0583E-03      4.9595E-03         200
      2200      6.1111E-02      5.3275E-02      1.1693E-03      4.8387E-03         200
      2300      6.3889E-02     -6.0454E-02      1.2368E-03      4.6615E-03         200
      2400      6.6667E-02      6.2066E-02      1.1963E-03      4.5460E-03         200
      2500      6.9444E-02     -6.5790E-02      1.2223E-03      4.3967E-03         200
      2600      7.2222E-02      6.1621E-02      1.1081E-03      4.2873E-03         200
      2700      7.5000E-02     -6.2643E-02      1.0997E-03      4.1598E-03         200
      2800      7.7778E-02      5.6025E-02      9.6190E-04      4.0570E-03         200
      2900      8.0556E-02     -5.4997E-02      9.2730E-04      3.9466E-03         200
      3000      8.3333E-02      4.7907E-02      7.9375E-04      3.8506E-03         200
      3100      8.6111E-02     -4.5530E-02      7.4305E-04      3.7538E-03         200
      3200      8.8889E-02      3.8987E-02      6.2657E-04      3.6646E-03         200
      3300      9.1667E-02     -3.5924E-02      5.6943E-04      3.5785E-03         200
      3400      9.4444E-02      3.0352E-02      4.7409E-04      3.4961E-03         200
      3500      9.7222E-02     -2.7144E-02      4.1815E-04      3.4187E-03         200
      3600      1.0000E-01      2.2636E-02      3.4342E-04      3.3426E-03         200
      3700      1.0278E-01     -1.9651E-02      2.9364E-04      3.2723E-03         200
      3800      1.0556E-01      1.6140E-02      2.3706E-04      3.2021E-03         200
      3900      1.0833E-01     -1.3585E-02      1.9591E-04      3.1378E-03         200
      4000      1.1111E-01      1.0938E-02      1.5436E-04      3.0731E-03         200
      4100      1.1389E-01     -8.8914E-03      1.2242E-04      3.0138E-03         200
      4200      1.1667E-01      6.9570E-03      9.2879E-05      2.9542E-03         200
      4300      1.1944E-01     -5.4102E-03      6.9469E-05      2.8992E-03         200
      4400      1.2222E-01      4.0440E-03      4.9232E-05      2.8441E-03         200
      4500      1.2500E-01     -2.9380E-03      3.3059E-05      2.7930E-03         200
      4600      1.2778E-01      2.0116E-03      1.9831E-05      2.7420E-03         200
      4700      1.3056E-01     -1.2663E-03      9.3851E-06      2.6943E-03         200
      4800      1.3333E-01      6.7029E-04      1.2836E-06      2.6469E-03         200
      4900      1.3611E-01     -2.0253E-04      4.8850E-06      2.6024E-03         200
      5000      1.3889E-01     -1.5312E-04      9.3607E-06      2.5583E-03         200
      5100      1.4167E-01      4.1826E-04      1.2505E-05      2.5165E-03         200
      5200      1.4444E-01     -6.0546E-04      1.4521E-05      2.4753E-03         200
      5300      1.4722E-01      7.3065E-04      1.5655E-05      2.4361E-03         200
      5400      1.5000E-01     -8.0544E-04      1.6097E-05      2.3976E-03         200
      5500      1.5278E-01      8.3975E-04      1.5988E-05      2.3607E-03         200
      5600      1.5556E-01     -8.4398E-04      1.5496E-05      2.3246E-03         200
      5700      1.5833E-01      8.2372E-04      1.4695E-05      2.2898E-03         200
      5800      1.6111E-01     -7.8753E-04      1.3719E-05      2.2559E-03         200
      5900      1.6389E-01      7.3833E-04      1.2601E-05      2.2231E-03         200
      6000      1.6667E-01     -6.8253E-04      1.1440E-05      2.1911E-03         200
      6100      1.6944E-01      6.2155E-04      1.0248E-05      2.1601E-03         200
      6200      1.7222E-01     -5.5978E-04      9.0890E-06      2.1299E-03         200
      6300      1.7500E-01      4.9781E-04      7.9653E-06      2.1006E-03         200
      6400      1.7778E-01     -4.3837E-04      6.9149E-06      2.0721E-03         200
      6500      1.8056E-01      3.8159E-04      5.9344E-06      2.0443E-03         200
      6600      1.8333E-01     -3.2897E-04      5.0427E-06      2.0173E-03         200
      6700      1.8611E-01      2.8040E-04      4.2340E-06      1.9910E-03         200
      6800      1.8889E-01     -2.3652E-04      3.5150E-06      1.9653E-03         200
      6900      1.9167E-01      1.9709E-04      2.8786E-06      1.9403E-03         200
      7000      1.9444E-01     -1.6225E-04      2.3241E-06      1.9160E-03         200
      7100      1.9722E-01      1.3165E-04      1.8441E-06      1.8922E-03         200
      7200      2.0000E-01     -1.0515E-04      1.4343E-06      1.8691E-03         200
      7300      2.0278E-01      8.2381E-05      1.0873E-06      1.8464E-03         200
