     ITIME      Time(Hours)    Net_Q/INLET_Q    Mass_Error      Cumu_Mass_Error  No_Wet_Cell
       100      2.7778E-02      3.1453E-02      5.7464E-04      3.6285E-02        1000
       200      5.5556E-02      1.6748E-03      2.0460E-05      2.1621E-02        1000
       300      8.3333E-02      2.3625E-05      3.0711E-08      1.5368E-02        1000
       400      1.1111E-01     -1.4854E-06      3.1143E-08      1.1921E-02        1000
       500      1.3889E-01     -9.3440E-08      1.1998E-09      9.7367E-03        1000
       600      1.6667E-01     -1.5887E-09      3.0566E-12      8.2290E-03        1000
       700      1.9444E-01      7.0207E-11      6.4158E-12      7.1256E-03        1000
       800      2.2222E-01      3.6406E-12      3.6406E-12      6.2831E-03        1000
       900      2.5000E-01     -9.3157E-13      2.8419E-13      5.6188E-03        1000
      1000      2.7778E-01      1.5734E-13      1.5734E-13      5.0815E-03        1000
      1100      3.0556E-01     -1.6977E-14      2.4872E-14      4.6380E-03        1000
      1200      3.3333E-01     -6.7539E-15      6.7539E-15      4.2657E-03        1000
      1300      3.6111E-01     -1.4957E-15      1.4957E-15      3.9487E-03        1000
      1400      3.8889E-01     -1.8350E-15      1.8350E-15      3.6756E-03        1000
      1500      4.1667E-01      4.8881E-15      4.8881E-15      3.4378E-03        1000
      1600      4.4444E-01      5.0885E-16      5.0885E-16      3.2290E-03        1000
      1700      4.7222E-01      2.7910E-15      2.7910E-15      3.0440E-03        1000
      1800      5.0000E-01     -4.8881E-15      4.8881E-15      2.8791E-03        1000
      1900      5.2778E-01      4.5026E-15      1.1287E-14      2.7311E-03        1000
      2000      5.5556E-01      7.2010E-15      7.2010E-15      2.5976E-03        1000
      2100      5.8333E-01     -6.8926E-15      6.8926E-15      2.4766E-03        1000
      2200      6.1111E-01      3.1302E-15      3.1302E-15      2.3663E-03        1000
      2300      6.3889E-01     -9.1439E-15      9.1439E-15      2.2654E-03        1000
      2400      6.6667E-01     -1.9429E-15      1.9429E-15      2.1728E-03        1000
      2500      6.9444E-01      2.6214E-16      2.6214E-16      2.0874E-03        1000
      2600      7.2222E-01      6.4455E-15      6.4455E-15      2.0085E-03        1000
      2700      7.5000E-01      7.5094E-15      8.2804E-15      1.9354E-03        1000
      2800      7.7778E-01      2.2821E-15      2.2821E-15      1.8674E-03        1000
      2900      8.0556E-01      5.9058E-15      5.9058E-15      1.8040E-03        1000
      3000      8.3333E-01     -1.0701E-14      1.0701E-14      1.7448E-03        1000
      3100      8.6111E-01      5.5511E-15      5.7608E-14      1.6893E-03        1000
      3200      8.8889E-01      1.5420E-17      1.5420E-17      1.6373E-03        1000
      3300      9.1667E-01      2.3284E-15      3.3908E-14      1.5883E-03        1000
      3400      9.4444E-01     -3.2998E-15      3.2998E-15      1.5422E-03        1000
      3500      9.7222E-01      7.6636E-15      7.6636E-15      1.4987E-03        1000
      3600      1.0000E+00     -1.1256E-15      1.1256E-15      1.4576E-03        1000
