x, h, q, eta, zb
0.100000, 1.135010, 0.503881, 1.135012, 0.000002
0.300000, 1.134154, 0.509651, 1.134160, 0.000005
0.500000, 1.132860, 0.516147, 1.132873, 0.000013
0.700000, 1.130971, 0.523787, 1.131003, 0.000032
0.900000, 1.128265, 0.533059, 1.128338, 0.000072
1.100000, 1.124453, 0.544448, 1.124613, 0.000160
1.300000, 1.119178, 0.558295, 1.119518, 0.000340
1.500000, 1.112020, 0.574594, 1.112713, 0.000693
1.700000, 1.102485, 0.592785, 1.103845, 0.001360
1.900000, 1.089998, 0.611575, 1.092561, 0.002563
2.100000, 1.073884, 0.628910, 1.078526, 0.004643
2.300000, 1.053382, 0.642169, 1.061465, 0.008083
2.500000, 1.027688, 0.648588, 1.041215, 0.013527
2.700000, 0.996053, 0.645946, 1.017811, 0.021758
2.900000, 0.957938, 0.633319, 0.991577, 0.033639
3.100000, 0.913190, 0.611647, 0.963175, 0.049985
3.300000, 0.862181, 0.583832, 0.933571, 0.071390
3.500000, 0.805877, 0.554169, 0.903879, 0.098002
3.700000, 0.745794, 0.527270, 0.875104, 0.129310
3.900000, 0.683878, 0.506883, 0.847870, 0.163992
4.100000, 0.622346, 0.495086, 0.822248, 0.199902
4.300000, 0.563554, 0.492098, 0.797767, 0.234213
4.500000, 0.509912, 0.496649, 0.773670, 0.263758
4.700000, 0.463992, 0.506890, 0.749489, 0.285497
4.900000, 0.428695, 0.520814, 0.725724, 0.297030
5.100000, 0.407765, 0.536827, 0.704794, 0.297030
5.300000, 0.405457, 0.553915, 0.690955, 0.285497
5.500000, 0.422116, 0.571418, 0.685874, 0.263758
5.700000, 0.453170, 0.587132, 0.687383, 0.234213
5.900000, 0.498877, 0.591388, 0.698779, 0.199902
6.100000, 0.566201, 0.559136, 0.730194, 0.163992
6.300000, 0.665443, 0.440232, 0.794752, 0.129310
6.500000, 0.791950, 0.191486, 0.889952, 0.098002
6.700000, 0.919613, -0.160731, 0.991003, 0.071390
6.900000, 1.019951, -0.534371, 1.069936, 0.049985
7.100000, 1.078499, -0.867407, 1.112138, 0.033639
7.300000, 1.095312, -1.145244, 1.117070, 0.021758
7.500000, 1.079935, -1.373274, 1.093462, 0.013527
7.700000, 1.047889, -1.551651, 1.055972, 0.008083
7.900000, 1.015961, -1.677151, 1.020603, 0.004643
8.100000, 0.994751, -1.755346, 0.997314, 0.002563
8.300000, 0.985187, -1.800611, 0.986547, 0.001360
8.500000, 0.983018, -1.826978, 0.983711, 0.000693
8.700000, 0.984245, -1.843382, 0.984585, 0.000340
8.900000, 0.986636, -1.854475, 0.986796, 0.000160
9.100000, 0.989193, -1.862551, 0.989265, 0.000072
9.300000, 0.991522, -1.868783, 0.991553, 0.000032
9.500000, 0.993488, -1.873813, 0.993501, 0.000013
9.700000, 0.995069, -1.878018, 0.995075, 0.000005
9.900000, 0.996543, -1.881320, 0.996545, 0.000002
