x, h, q, eta, zb
0.250000, 1.045529, 0.161340, 1.045535, 0.000007
0.750000, 1.013154, 0.043695, 1.013211, 0.000056
1.250000, 1.001572, 0.010050, 1.001951, 0.000378
1.750000, 0.996534, 0.005386, 0.998529, 0.001994
2.250000, 0.987791, 0.006853, 0.996048, 0.008257
2.750000, 0.966729, 0.005335, 0.993620, 0.026891
3.250000, 0.924088, -0.003228, 0.993086, 0.068998
3.750000, 0.855232, -0.007968, 0.994910, 0.139677
4.250000, 0.763571, 0.031100, 0.986926, 0.223354
4.750000, 0.635227, 0.173453, 0.917602, 0.282375
5.250000, 0.326760, 0.192402, 0.609135, 0.282375
5.750000, 0.300313, 0.040715, 0.523668, 0.223354
6.250000, 0.361607, 0.010997, 0.501284, 0.139677
6.750000, 0.426620, 0.002867, 0.495618, 0.068998
7.250000, 0.468610, -0.002095, 0.495501, 0.026891
7.750000, 0.489022, -0.003059, 0.497279, 0.008257
8.250000, 0.497276, -0.002904, 0.499270, 0.001994
8.750000, 0.503890, -0.011430, 0.504268, 0.000378
9.250000, 0.531156, -0.079560, 0.531212, 0.000056
9.750000, 0.632671, -0.342691, 0.632677, 0.000007
